frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
225,THRESH,left,-25.3987,-28.4396,0.30,33.1,0.0,66.1,0.0,17.7,-3903.79,160.00,8985,LEFT
226,THRESH,left,-19.2295,-24.7556,0.39,33.1,0.0,66.2,0.0,17.2,-2916.73,160.00,8497,LEFT
227,THRESH,left,0.8881,-14.4981,82.94,53.3,0.0,0.0,100.0,16.8,302.09,160.00,2312,RIGHT
228,THRESH,left,0.7833,-8.3855,61.92,48.1,0.0,0.0,96.3,17.7,285.33,160.00,3491,RIGHT
229,THRESH,left,-2.0858,-5.8657,2.90,33.7,0.0,35.5,31.9,18.1,-173.73,160.00,5737,LEFT
230,THRESH,left,0.7015,-3.2388,42.94,43.5,0.0,0.0,87.0,18.0,272.23,160.00,3549,RIGHT
231,THRESH,left,0.9185,-1.5759,82.83,53.2,0.0,0.0,100.0,18.3,306.96,160.00,1470,RIGHT
232,THRESH,left,0.9663,-0.5590,84.61,53.7,0.0,0.0,100.0,19.3,314.60,160.00,382,RIGHT
233,THRESH,left,-20.4733,-8.5247,0.37,33.1,0.0,66.2,0.0,20.8,-3115.73,160.00,9018,LEFT
234,THRESH,left,-29.6053,-16.9570,0.26,33.1,0.0,66.1,0.0,20.0,-4576.85,160.00,9310,LEFT
235,THRESH,left,-28.4996,-21.5740,0.27,33.1,0.0,66.1,0.0,19.2,-4399.94,160.00,8936,LEFT
236,THRESH,left,-27.8654,-24.0906,0.27,33.1,0.0,66.1,0.0,18.5,-4298.47,160.00,9470,LEFT
237,THRESH,left,-29.1544,-26.1161,0.26,33.1,0.0,66.1,0.0,17.9,-4504.70,160.00,9371,LEFT
238,THRESH,left,-22.0230,-24.4788,0.34,33.1,0.0,66.2,0.0,17.4,-3363.67,160.00,9052,LEFT
239,THRESH,left,-16.8871,-21.4421,0.44,33.1,0.0,66.2,0.0,16.9,-2541.93,160.00,7961,LEFT
240,THRESH,left,0.8939,-12.5077,87.35,54.4,0.0,0.0,100.0,16.6,303.03,160.00,2556,RIGHT
241,THRESH,left,0.6660,-7.2382,38.03,42.3,0.0,0.0,84.6,17.5,266.57,160.00,3809,RIGHT
242,THRESH,left,-6.8773,-7.0939,1.09,33.3,0.0,66.5,0.0,17.8,-940.37,160.00,5770,LEFT
243,THRESH,left,0.7106,-3.9721,45.15,44.0,0.0,0.0,88.1,17.7,273.70,160.00,3681,RIGHT
244,THRESH,left,0.9138,-2.0177,85.77,54.0,0.0,0.0,100.0,18.2,306.22,160.00,1891,RIGHT
245,THRESH,left,0.9361,-0.8362,87.44,54.4,0.0,0.0,100.0,19.1,309.78,160.00,1459,RIGHT
246,THRESH,left,0.9328,-0.1286,87.10,54.3,0.0,0.0,100.0,20.1,309.24,160.00,1514,RIGHT
247,THRESH,right,0.9664,0.3094,86.77,54.2,0.0,0.0,100.0,20.8,314.62,160.00,604,RIGHT
248,THRESH,left,-15.2199,-5.9023,0.49,33.1,0.0,66.2,0.0,22.1,-2275.18,160.00,9208,LEFT
249,THRESH,left,-25.4393,-13.7171,0.30,33.1,0.0,66.1,0.0,21.1,-3910.29,160.00,9042,LEFT
250,THRESH,left,-23.2873,-17.5452,0.33,33.1,0.0,66.2,0.0,20.2,-3565.96,160.00,9487,LEFT
