frame,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps
183,left,-0.3625,-0.5612,30.21,40.1,0.0,38.7,41.5,51.6
184,left,-0.3625,-0.5016,30.21,40.1,0.0,43.1,37.1,51.7
185,left,-0.4555,-0.4878,37.24,42.4,0.0,57.5,27.3,51.5
186,left,-0.4239,-0.4686,34.97,41.7,0.0,54.9,28.4,51.0
187,left,-0.4239,-0.4552,34.97,41.7,0.0,55.6,27.7,50.7
188,left,-0.4104,-0.4417,33.51,41.2,0.0,54.1,28.2,50.5
189,left,-0.3779,-0.4226,30.85,40.3,0.0,50.7,29.9,50.8
190,left,-0.3779,-0.4092,30.85,40.3,0.0,51.7,28.9,51.0
191,left,-0.2834,-0.3715,25.84,38.6,0.0,42.3,35.0,51.2
192,left,-0.2834,-0.3450,25.84,38.6,0.0,44.7,32.5,51.4
193,left,-0.4098,-0.3645,33.46,41.2,0.0,59.7,22.6,51.0
194,left,-0.3522,-0.3608,29.36,39.8,0.0,51.8,27.8,51.2
195,left,-0.3522,-0.3582,29.36,39.8,0.0,52.0,27.6,51.4
196,left,-0.3138,-0.3449,27.19,39.1,0.0,47.9,30.2,51.5
197,left,-0.3138,-0.3356,27.19,39.1,0.0,48.6,29.5,51.6
198,left,-0.2773,-0.3181,25.33,38.4,0.0,45.2,31.7,51.6
199,left,-0.3726,-0.3344,30.64,40.2,0.0,56.5,23.9,51.7
200,left,-0.3726,-0.3459,30.64,40.2,0.0,55.7,24.8,51.9
201,left,-0.2967,-0.3311,26.24,38.7,0.0,47.2,30.3,51.2
202,left,-0.2611,-0.3101,24.55,38.2,0.0,43.9,32.5,51.3
203,left,-0.2611,-0.2954,24.55,38.2,0.0,44.8,31.5,51.4
204,left,-0.0614,-0.2252,17.96,36.0,0.0,27.6,44.4,51.4
205,left,-0.0614,-0.1761,17.96,36.0,0.0,31.4,40.6,51.4
206,left,-0.2082,-0.1857,22.52,37.5,0.0,45.9,29.1,51.0
207,left,-0.1872,-0.1861,21.53,37.2,0.0,43.5,30.8,51.1
208,left,-0.1872,-0.1865,21.53,37.2,0.0,43.5,30.9,51.3
209,left,-0.3227,-0.2273,27.54,39.2,0.0,57.3,21.0,50.6
210,left,-0.2357,-0.2299,23.27,37.8,0.0,46.2,29.4,50.7
211,left,-0.2357,-0.2316,23.27,37.8,0.0,46.0,29.5,50.9
212,left,-0.2299,-0.2311,23.12,37.7,0.0,45.4,30.0,50.0
213,left,-0.0424,-0.1745,17.40,35.8,0.0,28.7,42.9,50.1
214,left,-0.0424,-0.1349,17.40,35.8,0.0,31.6,40.0,50.3
215,left,-0.1888,-0.1511,21.76,37.3,0.0,46.0,28.5,50.2
216,left,-0.1614,-0.1542,20.85,37.0,0.0,42.8,31.1,50.4
217,left,-0.1614,-0.1564,20.85,37.0,0.0,42.7,31.2,50.6
218,left,-0.1238,-0.1466,19.70,36.6,0.0,39.2,33.9,50.7
219,left,-0.1238,-0.1397,19.70,36.6,0.0,39.8,33.3,50.7
220,left,0.0194,-0.0920,16.20,35.4,0.0,28.2,42.6,50.1
221,left,-0.0402,-0.0765,17.55,35.9,0.0,34.8,36.9,50.3
222,go,-0.0402,-0.0656,17.55,35.9,0.0,35.8,35.9,50.5
223,left,-0.2123,-0.1096,22.43,37.5,0.0,51.7,23.2,50.1
224,left,-0.2330,-0.1466,23.26,37.8,0.0,54.3,21.2,51.3
225,left,-0.2330,-0.1725,23.26,37.8,0.0,58.9,16.6,59.1
226,left,-0.2330,-0.1907,23.26,37.8,0.0,52.8,22.7,66.0
227,left,-0.2219,-0.2000,22.76,37.6,0.0,46.5,28.6,64.6
228,left,-0.2219,-0.2066,22.76,37.6,0.0,46.1,29.0,63.4
229,left,-0.0495,-0.1595,17.66,35.9,0.0,30.4,41.3,62.4
230,left,-0.0495,-0.1265,17.66,35.9,0.0,32.7,39.1,61.3
231,left,-0.1140,-0.1228,19.34,36.4,0.0,39.6,33.3,60.4
232,left,-0.0976,-0.1152,18.91,36.3,0.0,38.5,34.1,59.0
233,left,-0.0976,-0.1099,18.91,36.3,0.0,38.8,33.8,58.1
234,left,-0.3087,-0.1696,26.64,38.9,0.0,58.9,18.9,57.1
235,left,-0.3287,-0.2173,27.52,39.2,0.0,58.7,19.7,56.4
236,left,-0.3287,-0.2507,27.52,39.2,0.0,56.1,22.3,56.0
237,left,-0.2233,-0.2425,22.92,37.6,0.0,44.1,31.2,55.2
238,go,0.6215,0.0167,9.30,33.1,0.0,0.0,66.2,54.7
239,right,0.6215,0.1981,9.30,33.1,0.0,0.0,66.2,54.2
240,go,-0.3503,0.0336,29.08,39.7,0.0,77.5,1.9,53.7
241,go,-0.3009,-0.0667,26.48,38.8,0.0,64.5,13.2,53.3
242,left,-0.3009,-0.1370,26.48,38.8,0.0,60.2,17.4,53.1
243,left,-0.1901,-0.1529,21.97,37.3,0.0,46.2,28.4,53.1
244,left,-0.1901,-0.1641,21.97,37.3,0.0,45.1,29.5,52.9
