epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,805.946,0.6579,0.33172,0.65317,0.96464,0.91638,0.87682,0.96027,0.80652,0.91638,0.87682,0.96027,0.85076,0.52158,0.14076,1.12373,0.73718,0.0011189,0.0011189,0.0011189
91,814.088,0.65166,0.42481,0.65593,0.96032,0.92201,0.94612,0.96372,0.86408,0.92201,0.94612,0.96372,0.8692,0.44757,0.12352,0.56621,0.7013,0.001109,0.001109,0.001109
92,823.481,0.66923,0.34648,0.686,0.96847,0.92288,0.95747,0.9559,0.83007,0.92288,0.95747,0.9559,0.84638,0.52972,0.14133,0.73721,0.70988,0.0010991,0.0010991,0.0010991
93,832.884,0.64602,0.37188,0.65111,0.98974,0.84313,0.96,0.95475,0.84061,0.84742,0.88,0.92123,0.8303,0.44439,0.13273,1.5238,0.67329,0.0010892,0.0010892,0.0010892
94,841.21,0.66375,0.53802,0.68505,0.9888,0.94569,0.92,0.97371,0.85132,0.94569,0.92,0.97371,0.8811,0.49679,0.13305,0.62032,0.69302,0.0010793,0.0010793,0.0010793
95,850.633,0.6596,0.85748,0.63326,0.96018,0.9229,1,0.98885,0.84722,0.9229,1,0.98885,0.85445,0.51315,0.1527,0.65133,0.70255,0.0010694,0.0010694,0.0010694
96,859.92,0.6341,0.44049,0.64262,0.95573,0.94568,0.92,0.9752,0.83879,0.94568,0.92,0.9752,0.85766,0.58533,0.12869,0.49695,0.72632,0.0010595,0.0010595,0.0010595
97,868.298,0.62106,0.43085,0.75471,0.96267,0.87108,0.92,0.92192,0.78957,0.87108,0.92,0.92192,0.79797,0.46206,0.13974,1.15769,0.67679,0.0010496,0.0010496,0.0010496
98,877.887,0.61245,0.41555,0.69511,0.92985,0.9405,1,0.98269,0.84769,0.9405,1,0.98269,0.86539,0.46588,0.12105,0.64256,0.68268,0.0010397,0.0010397,0.0010397
99,886.87,0.65438,0.44001,0.88375,0.95457,0.87591,0.92,0.95723,0.83187,0.87591,0.92,0.95723,0.85214,0.49404,0.12314,0.65847,0.70232,0.0010298,0.0010298,0.0010298
100,895.494,0.6671,0.43564,0.66192,0.97572,0.91648,0.87792,0.96547,0.85724,0.91648,0.87792,0.93431,0.84485,0.46187,0.13869,1.72324,0.69205,0.0010199,0.0010199,0.0010199
101,904.96,0.62618,0.47106,0.61849,0.94717,0.80161,1,0.95314,0.83155,0.87902,0.87213,0.92504,0.8574,0.50609,0.14016,1.35536,0.70033,0.00101,0.00101,0.00101
102,913.559,0.64683,0.36981,0.66835,0.97362,1,0.87286,0.97482,0.87526,1,0.87286,0.97482,0.87932,0.44874,0.13298,1.26074,0.68542,0.0010001,0.0010001,0.0010001
